Name | Tier | Q-Lvl | MinDef | MaxDef | MaxSockets | StrengthReq | LvlReq | BlockChance | SpeedPenalty | MinDmg | MaxDmg
Targe | Normal | 4 | 8 | 12 | 4 | 16 | 3 | 40 | 0 | 2 | 6
Rondache | Normal | 8 | 10 | 18 | 4 | 26 | 6 | 45 | 0 | 2 | 8
Heraldic Shield | Normal | 16 | 16 | 26 | 4 | 40 | 12 | 50 | 0 | 3 | 9
Aerin Shield | Normal | 20 | 26 | 36 | 4 | 50 | 15 | 52 | 0 | 4 | 10
Crown Shield | Normal | 24 | 30 | 40 | 4 | 65 | 18 | 55 | 0 | 4 | 12

Akaran Targe | Exceptional | 35 | 101 | 125 | 4 | 44 | 26 | 40 | 0 | 12 | 16
Akaran Rondache | Exceptional | 40 | 113 | 137 | 4 | 59 | 30 | 45 | 0 | 15 | 20
Protector Shield | Exceptional | 46 | 129 | 153 | 4 | 69 | 34 | 50 | 0 | 18 | 24
Gilded Shield | Exceptional | 51 | 144 | 168 | 4 | 89 | 38 | 52 | 0 | 20 | 28
Royal Shield | Exceptional | 55 | 156 | 181 | 4 | 114 | 41 |  55 | 0 | 24 | 32

Sacred Targe | Elite | 63 | 126 | 158 | 4 | 86 | 47 | 40 | 0 | 22 | 70
Sacred Rondache | Elite | 70 | 138 | 164 | 4 | 109 | 52 | 45 | 0 | 35 | 58
Kurast Shield | EElite | 74 | 154 | 172 | 4 | 124 | 55 | 50 | 0 | 10 | 82
Zakarum Shield | Elite | 82 | 169 | 193 | 4 | 142 | 61 | 52 | 0 | 46 | 46
Vortex Shield | Elite | 85 | 182 | 225 | 4 | 148 | 66 | 55 | 0 | 5 | 87
